Strong's Number,Original Word,Testament,Has English,Has Telugu,Part of Speech,Gloss/Note
G276,"ἀμετάθετος",Greek (NT),No,No,,""
G277,"ἀμετακίνητος",Greek (NT),No,No,,""
G278,"ἀμεταμέλητος",Greek (NT),No,No,,""
G279,"ἀμετανόητος",Greek (NT),No,No,,""
G280,"ἄμετρος",Greek (NT),No,No,,""
G281,"ἀμήν",Greek (NT),No,Yes,,""
G282,"ἀμήτωρ",Greek (NT),No,No,,""
G283,"ἀμίαντος",Greek (NT),No,No,,""
G284,"Ἀμιναδάβ",Greek (NT),No,No,,""
G285,"ἄμμος",Greek (NT),No,No,,""
G286,"ἀμνός",Greek (NT),No,No,,""
G287,"ἀμοιβή",Greek (NT),No,No,,""
G288,"ἄμπελος",Greek (NT),No,No,,""
G289,"ἀμπελουργός",Greek (NT),No,No,,""
G290,"ἀμπελών",Greek (NT),No,No,,""
G291,"Ἀμπλίας",Greek (NT),No,No,,""
G292,"ἀμύνομαι",Greek (NT),No,No,,""
G293,"ἀμφίβληστρον",Greek (NT),No,No,,""
G294,"ἀμφιέννυμι",Greek (NT),No,No,,""
G295,"Ἀμφίπολις",Greek (NT),No,No,,""
G296,"ἄμφοδον",Greek (NT),No,No,,""
G297,"ἀμφότερος",Greek (NT),No,No,,""
G298,"ἀμώμητος",Greek (NT),No,No,,""
G299,"ἄμωμος",Greek (NT),No,No,,""
G300,"Ἀμών",Greek (NT),No,No,,""
G301,"Ἀμώς",Greek (NT),No,No,,""
G302,"ἄν",Greek (NT),No,Yes,,""
G303,"ἀνά",Greek (NT),No,No,,""
G304,"ἀναβαθμός",Greek (NT),No,No,,""
G305,"ἀναβαίνω",Greek (NT),No,No,,""
G306,"ἀναβάλλομαι",Greek (NT),No,No,,""
G307,"ἀναβιβάζω",Greek (NT),No,No,,""
G308,"ἀναβλέπω",Greek (NT),No,No,,""
G309,"ἀνάβλεψις",Greek (NT),No,No,,""
G310,"ἀναβοάω",Greek (NT),No,No,,""
G311,"ἀναβολή",Greek (NT),No,No,,""
G312,"ἀναγγέλλω",Greek (NT),No,No,,""
G313,"ἀναγεννάω",Greek (NT),No,No,,""
G314,"ἀναγινώσκω",Greek (NT),No,No,,""
G315,"ἀναγκάζω",Greek (NT),No,No,,""
G316,"ἀναγκαῖος",Greek (NT),No,Yes,,""
G317,"ἀναγκαστῶς",Greek (NT),No,No,,""
G318,"ἀνάγκη",Greek (NT),No,No,,""
G319,"ἀναγνωρίζομαι",Greek (NT),No,Yes,,""
G320,"ἀνάγνωσις",Greek (NT),No,No,,""
G321,"ἀνάγω",Greek (NT),No,No,,""
G322,"ἀναδείκνυμι",Greek (NT),No,No,,""
G323,"ἀνάδειξις",Greek (NT),No,No,,""
G324,"ἀναδέχομαι",Greek (NT),No,No,,""
G325,"ἀναδίδωμι",Greek (NT),No,No,,""
G326,"ἀναζάω",Greek (NT),No,No,,""
G327,"ἀναζητέω",Greek (NT),No,No,,""
G328,"ἀναζώννυμι",Greek (NT),No,No,,""
G329,"ἀναζωπυρέω",Greek (NT),No,No,,""
G330,"ἀναθάλλω",Greek (NT),No,No,,""
G331,"ἀνάθεμα",Greek (NT),No,No,,""
G332,"ἀναθεματίζω",Greek (NT),No,No,,""
G333,"ἀναθεωρέω",Greek (NT),No,No,,""
G334,"ἀνάθημα",Greek (NT),No,Yes,,""
G335,"ἀναίδεια",Greek (NT),No,No,,""
G336,"ἀναίρεσις",Greek (NT),No,No,,""
G337,"ἀναιρέω",Greek (NT),No,No,,""
G338,"ἀναίτιος",Greek (NT),No,No,,""
G339,"ἀνακαθίζω",Greek (NT),No,No,,""
G340,"ἀνακαινίζω",Greek (NT),No,No,,""
G341,"ἀνακαινόω",Greek (NT),No,No,,""
G342,"ἀνακαίνωσις",Greek (NT),No,No,,""
G343,"ἀνακαλύπτω",Greek (NT),No,No,,""
G344,"ἀνακάμπτω",Greek (NT),No,No,,""
G345,"ἀνακεῖμαι",Greek (NT),No,No,,""
G346,"ἀνακεφαλαίομαι",Greek (NT),No,No,,""
G347,"ἀνακλίνω",Greek (NT),No,No,,""
G348,"ἀνακόπτω",Greek (NT),No,No,,""
G349,"ἀνακράζω",Greek (NT),No,No,,""
G350,"ἀνακρίνω",Greek (NT),No,No,,""
G351,"ἀνάκρισις",Greek (NT),No,No,,""
G352,"ἀνακύπτω",Greek (NT),No,No,,""
G353,"ἀναλαμβάνω",Greek (NT),No,No,,""
G354,"ἀνάληψις",Greek (NT),No,No,,""
G355,"ἀναλίσκω",Greek (NT),No,No,,""
G356,"ἀναλογία",Greek (NT),No,No,,""
G357,"ἀναλογίζομαι",Greek (NT),No,No,,""
G358,"ἄναλος",Greek (NT),No,No,,""
G359,"ἀνάλυσις",Greek (NT),No,No,,""
G360,"ἀναλύω",Greek (NT),No,No,,""
G361,"ἀναμάρτητος",Greek (NT),No,No,,""
G362,"ἀναμένω",Greek (NT),No,No,,""
G363,"ἀναμιμνήσκω",Greek (NT),No,No,,""
G364,"ἀνάμνησις",Greek (NT),No,No,,""
G365,"ἀνανεόω",Greek (NT),No,No,,""
G366,"ἀνανήφω",Greek (NT),No,No,,""
G367,"Ἀνανίας",Greek (NT),No,No,,""
G368,"ἀναντίῤῥητος",Greek (NT),No,No,,""
G369,"ἀναντιῤῥήτως",Greek (NT),No,No,,""
G370,"ἀνάξιος",Greek (NT),No,No,,""
G371,"ἀναξίως",Greek (NT),No,No,,""
G372,"ἀνάπαυσις",Greek (NT),No,No,,""
G373,"ἀναπαύω",Greek (NT),No,No,,""
G374,"ἀναπείθω",Greek (NT),No,No,,""
G375,"ἀναπέμπω",Greek (NT),No,No,,""
G376,"ἀνάπηρος",Greek (NT),No,No,,""
G377,"ἀναπίπτω",Greek (NT),No,No,,""
G378,"ἀναπληρόω",Greek (NT),No,No,,""
G379,"ἀναπολόγητος",Greek (NT),No,No,,""
G380,"ἀναπτύσσω",Greek (NT),No,No,,""
G381,"ἀνάπτω",Greek (NT),No,No,,""
G382,"ἀναρίθμητος",Greek (NT),No,No,,""
G383,"ἀνασείω",Greek (NT),No,No,,""
G384,"ἀνασκευάζω",Greek (NT),No,No,,""
