Strong's Number,Original Word,English Meaning,Telugu Word,Telugu Meaning,Language,Testament
H0152,אַדרַמֶּלֶך,Adrammelek (ad-ram-meh'-lek) n/p.,,,Hebrew,Old Testament
H0153,אֶדרָע,an arm,,,Hebrew,Old Testament
H0154,אֶדרֶעִי,edre`iy (ed-reh'-ee) n/l.,,,Hebrew,Old Testament
H0155,אַדֶּרֶת,something ample (as a large vine,,,Hebrew,Old Testament
H0156,אָדַשׁ,adash (aw-dash') v.,,,Hebrew,Old Testament
H0157,אָהַב אָהֵב,ahab (aw-hab') (or raheb aw-habe') v.,ఆహబ్,ప్రేమించు,Hebrew,Old Testament
H0158,אַהַב,affection (in a good or a bad sense),,,Hebrew,Old Testament
H0159,אוֹהַב,meaning the same as H0158,,,Hebrew,Old Testament
H0160,אַהֲבָה,love,,,Hebrew,Old Testament
H0161,אוֹהַד,Ohad (o'-had) n/p.,,,Hebrew,Old Testament
H0162,אֲהָהּ,ahahh (a-haw') inj.,,,Hebrew,Old Testament
H0163,אַהֲוָא,Ahava' (a-hav-aw') n/l.,,,Hebrew,Old Testament
H0164,אֵהוּד,Ehuwd (ay-hood') n/p.,,,Hebrew,Old Testament
H0165,אֱהִי,ehiy (e-hee') adv.,,,Hebrew,Old Testament
H0166,אָהַל,ahal (aw-hal') v.,,,Hebrew,Old Testament
H0167,אָהַל,ahal (aw-hal') v.,,,Hebrew,Old Testament
H0168,אוֹהֶל,a tent (as clearly conspicuous from a distance),,,Hebrew,Old Testament
H0169,אוֹהֶל,Ohel (o'-hel) n/p.,,,Hebrew,Old Testament
H0170,אָהֳלָה אָהֳלָהּ,Oholah (o-hol-aw') (in form a feminine of H168,,,Hebrew,Old Testament
H0171,אָהֳלִיאָב,Oholiy'ab (o''-hol-e-awb') n/p.,,,Hebrew,Old Testament
H0172,אָהֳלִיבָּה אָהֳלִיבָּהּ,Oholiybah (o''-hol-ee-baw') ((similarly with H170) for hOholiybahh o''-hol-e-baw') n/p.,,,Hebrew,Old Testament
H0173,אָהֳלִיבָּמָה,Oholiybamah (o''-hol-ee-baw-maw') n/p.,,,Hebrew,Old Testament
H0174,אֲהָלִים אֲהָלוֹת,aloe wood (i.e. sticks),,,Hebrew,Old Testament
H0175,אַהֲרוֹן,Aharown (a-har-one') n/p.,అహరోన్,అహరోను,Hebrew,Old Testament
H0176,אוֹ אַו,ow (o) (presumed to be the constructive or genitival form of -av av) conj.,,,Hebrew,Old Testament
H0177,אוּאֵל,Uw'el (oo-ale') n/p.,,,Hebrew,Old Testament
H0178,אוֹב,(properly) a mumble,,,Hebrew,Old Testament
